 Name                       Version    License                               
 Deprecated                 1.2.14     MIT License                           
 Emergency                  2.0.0      GNU General Public License v3 (GPLv3) 
 Flask                      3.0.3      BSD License                           
 Jinja2                     3.1.4      BSD License                           
 Mako                       1.3.5      MIT License                           
 MarkupSafe                 2.1.5      BSD License                           
 PyNaCl                     1.5.0      Apache License 2.0                    
 PyYAML                     6.0.2      MIT License                           
 Pygments                   2.18.0     BSD License                           
 Werkzeug                   3.0.4      BSD License                           
 aiofiles                   24.1.0     Apache Software License               
 anyio                      4.4.0      MIT License                           
 async-timeout              4.0.3      Apache Software License               
 attrs                      24.2.0     MIT License                           
 biotech                    1.1.10     GNU General Public License v3 (GPLv3) 
 blinker                    1.8.2      MIT License                           
 body_scan                  1.1.1      GNU General Public License v3 (GPLv3) 
 botanist                   1.0.0      GPL 3.0                               
 certifi                    2024.8.30  Mozilla Public License 2.0 (MPL 2.0)  
 cffi                       1.17.1     MIT License                           
 charset-normalizer         3.3.2      MIT License                           
 click                      8.1.7      BSD License                           
 coverage                   7.6.1      Apache Software License               
 dnspython                  2.6.1      ISC License (ISCL)                    
 ecdsa                      0.18.0     MIT                                   
 foam_pet                  1.0.0      GNU General Public License v3 (GPLv3) 
 h11                        0.14.0     MIT License                           
 h2                         4.1.0      MIT License                           
 hpack                      4.0.0      MIT License                           
 html5tagger                1.3.0      MIT License; Public Domain            
 httpcore                   0.17.3     BSD License                           
 httptools                  0.6.1      MIT License                           
 httpx                      0.24.1     BSD License                           
 hyperframe                 6.0.1      MIT License                           
 idna                       3.8        BSD License                           
 importlib_resources        6.4.5      Apache Software License               
 itsdangerous               2.2.0      BSD License                           
 jsonschema                 4.23.0     MIT License                           
 jsonschema-specifications  2023.12.1  MIT License                           
 law_dictionary             1.0.12     GNU General Public License v3 (GPLv3) 
 limits                     3.13.0     MIT License                           
 markdown-it-py             3.0.0      MIT License                           
 mdurl                      0.1.2      MIT License                           
 multidict                  6.1.0      Apache Software License               
 packaging                  24.1       Apache Software License; BSD License  
 pexpect                    4.9.0      ISC License (ISCL)                    
 psutil                     5.9.8      BSD License                           
 ptyprocess                 0.7.0      ISC License (ISCL)                    
 pycparser                  2.22       BSD License                           
 pydash                     8.0.3      MIT License                           
 pyinotify                  0.9.6      MIT License                           
 pymongo                    4.8.0      Apache Software License               
 redis                      5.0.8      MIT License                           
 referencing                0.35.1     MIT License                           
 requests                   2.32.3     Apache Software License               
 rich                       13.8.1     MIT License                           
 rpds-py                    0.20.0     MIT License                           
 sanic                      23.12.2    MIT License                           
 sanic-ext                  23.12.0    MIT License                           
 sanic-limiter              0.1.3      MIT                                   
 sanic-routing              23.12.0    MIT License                           
 ships                      1.9.0      GNU General Public License v3 (GPLv3) 
 six                        1.16.0     MIT License                           
 sniffio                    1.3.1      Apache Software License; MIT License  
 somatic                    3.0.3      GNU General Public License v3 (GPLv3) 
 tinydb                     4.8.0      MIT License                           
 tracerite                  1.1.1      MIT License; Public Domain            
 typing_extensions          4.12.2     Python Software Foundation License    
 ujson                      5.10.0     BSD License                           
 urllib3                    2.2.2      MIT License                           
 uvloop                     0.20.0     Apache Software License; MIT License  
 ventures                   1.7.1      GNU General Public License v3 (GPLv3) 
 websockets                 13.0.1     BSD License                           
 wrapt                      1.16.0     BSD License                           
